id,path,text_name,extension,size,folder,num_files,depth,parent,uid
1,Google_20221008/,,,1571509121,1,190,0,0,501
2,Google_20221008/Google 商家资料,Google 商家资料,,197,1,2,1,1,501
3,Google_20221008/Google 商家资料/businessPersonalization.json,businessPersonalization,json,3,0,,1,2,501
4,Google_20221008/Google 商家资料/account-117982046330366765940,account-117982046330366765940,,98,1,1,2,2,501
5,Google_20221008/Google 商家资料/account-117982046330366765940/data.json,data,json,98,0,,2,4,501
6,Google_20221008/Google 地图,Google 地图,,1451,1,6,1,1,501
7,Google_20221008/Google 地图/服务请求,服务请求,,1,1,1,2,6,501
8,Google_20221008/Google 地图/服务请求/服务请求.json,服务请求,json,1,0,,2,7,501
9,Google_20221008/Google 地图/电动汽车设置,电动汽车设置,,37,1,1,2,6,501
10,Google_20221008/Google 地图/电动汽车设置/电动汽车设置.json,电动汽车设置,json,37,0,,2,9,501
11,Google_20221008/Google 地图/您的个性化反馈,您的个性化反馈,,21,1,1,2,6,501
12,Google_20221008/Google 地图/您的个性化反馈/您的个性化反馈.csv,您的个性化反馈,csv,21,0,,2,11,501
13,Google_20221008/Google 地图/通勤路线,通勤路线,,716,1,1,2,6,501
14,Google_20221008/Google 地图/通勤路线/通勤路线.json,通勤路线,json,716,0,,2,13,501
15,Google_20221008/Google 地图/添加的菜肴、产品、活动,添加的菜肴、产品、活动,,25,1,1,2,6,501
16,Google_20221008/Google 地图/添加的菜肴、产品、活动/添加的菜肴、产品、活动.json,添加的菜肴、产品、活动,json,25,0,,2,15,501
17,Google_20221008/Google 地图/问题和解答,问题和解答,,75,1,1,2,6,501
18,Google_20221008/Google 地图/问题和解答/问题和解答.json,问题和解答,json,75,0,,2,17,501
19,Google_20221008/我的活动,我的活动,,49010853,1,21,1,1,501
20,Google_20221008/我的活动/Google News,Google News,,149713,1,1,2,19,501
21,Google_20221008/我的活动/Google News/MyActivity.html,MyActivity,html,149713,0,,2,20,501
22,Google_20221008/我的活动/Maps,Maps,,9204700,1,1,2,19,501
23,Google_20221008/我的活动/Maps/MyActivity.html,MyActivity,html,9204700,0,,2,22,501
24,Google_20221008/我的活动/Ads,Ads,,2221773,1,1,2,19,501
25,Google_20221008/我的活动/Ads/MyActivity.html,MyActivity,html,2221773,0,,2,24,501
26,Google_20221008/我的活动/Google Lens,Google Lens,,142633,1,1,2,19,501
27,Google_20221008/我的活动/Google Lens/MyActivity.html,MyActivity,html,142633,0,,2,26,501
28,Google_20221008/我的活动/Video Search,Video Search,,217084,1,1,2,19,501
29,Google_20221008/我的活动/Video Search/MyActivity.html,MyActivity,html,217084,0,,2,28,501
30,Google_20221008/我的活动/Google Analytics,Google Analytics,,869023,1,1,2,19,501
31,Google_20221008/我的活动/Google Analytics/MyActivity.html,MyActivity,html,869023,0,,2,30,501
32,Google_20221008/我的活动/Google Play Store,Google Play Store,,178739,1,1,2,19,501
33,Google_20221008/我的活动/Google Play Store/MyActivity.html,MyActivity,html,178739,0,,2,32,501
34,Google_20221008/我的活动/Books,Books,,144640,1,1,2,19,501
35,Google_20221008/我的活动/Books/MyActivity.html,MyActivity,html,144640,0,,2,34,501
36,Google_20221008/我的活动/YouTube,YouTube,,1967100,1,1,2,19,501
37,Google_20221008/我的活动/YouTube/MyActivity.html,MyActivity,html,1967100,0,,2,36,501
38,Google_20221008/我的活动/Google Apps,Google Apps,,167483,1,1,2,19,501
39,Google_20221008/我的活动/Google Apps/MyActivity.html,MyActivity,html,167483,0,,2,38,501
40,Google_20221008/我的活动/Search,Search,,19417938,1,1,2,19,501
41,Google_20221008/我的活动/Search/MyActivity.html,MyActivity,html,19417938,0,,2,40,501
42,Google_20221008/我的活动/Android,Android,,205084,1,1,2,19,501
43,Google_20221008/我的活动/Android/MyActivity.html,MyActivity,html,205084,0,,2,42,501
44,Google_20221008/我的活动/Chrome,Chrome,,12239013,1,1,2,19,501
45,Google_20221008/我的活动/Chrome/MyActivity.html,MyActivity,html,12239013,0,,2,44,501
46,Google_20221008/我的活动/Google Store,Google Store,,142875,1,1,2,19,501
47,Google_20221008/我的活动/Google Store/MyActivity.html,MyActivity,html,142875,0,,2,46,501
48,Google_20221008/我的活动/Google Translate,Google Translate,,142820,1,1,2,19,501
49,Google_20221008/我的活动/Google Translate/MyActivity.html,MyActivity,html,142820,0,,2,48,501
50,Google_20221008/我的活动/Image Search,Image Search,,820555,1,1,2,19,501
51,Google_20221008/我的活动/Image Search/MyActivity.html,MyActivity,html,820555,0,,2,50,501
52,Google_20221008/我的活动/Drive,Drive,,152945,1,1,2,19,501
53,Google_20221008/我的活动/Drive/MyActivity.html,MyActivity,html,152945,0,,2,52,501
54,Google_20221008/我的活动/Travel,Travel,,144560,1,1,2,19,501
55,Google_20221008/我的活动/Travel/MyActivity.html,MyActivity,html,144560,0,,2,54,501
56,Google_20221008/我的活动/Gmail,Gmail,,148535,1,1,2,19,501
57,Google_20221008/我的活动/Gmail/MyActivity.html,MyActivity,html,148535,0,,2,56,501
58,Google_20221008/我的活动/Help,Help,,179991,1,1,2,19,501
59,Google_20221008/我的活动/Help/MyActivity.html,MyActivity,html,179991,0,,2,58,501
60,Google_20221008/我的活动/Developers,Developers,,151633,1,1,2,19,501
61,Google_20221008/我的活动/Developers/MyActivity.html,MyActivity,html,151633,0,,2,60,501
62,Google_20221008/Tasks,Tasks,,56463,1,1,1,1,501
63,Google_20221008/Tasks/Tasks.json,Tasks,json,56463,0,,1,62,501
64,Google_20221008/位置记录,位置记录,,1251,1,1,1,1,501
65,Google_20221008/位置记录/Settings.json,Settings,json,1251,0,,1,64,501
66,Google_20221008/我的地图,我的地图,,4634,1,3,1,1,501
67,Google_20221008/我的地图/2021.12.11-15 Chicago City.kmz,2021.12.11-15 Chicago City,kmz,2043,0,,1,66,501
68,Google_20221008/我的地图/2022.3.21-24 New York City.kmz,2022.3.21-24 New York City,kmz,1126,0,,1,66,501
69,Google_20221008/我的地图/2022.12.22-28 Swizterland.kmz,2022.12.22-28 Swizterland,kmz,1465,0,,1,66,501
70,Google_20221008/Google Workspace Marketplace,Google Workspace Marketplace,,415,1,1,1,1,501
71,Google_20221008/Google Workspace Marketplace/README,README,,415,0,,1,70,501
72,Google_20221008/新闻,新闻,,0,1,5,1,1,501
73,Google_20221008/新闻/magazines.txt,magazines,txt,0,0,,1,72,501
74,Google_20221008/新闻/followed_sources.txt,followed_sources,txt,0,0,,1,72,501
75,Google_20221008/新闻/followed_topics.txt,followed_topics,txt,0,0,,1,72,501
76,Google_20221008/新闻/followed_locations.txt,followed_locations,txt,0,0,,1,72,501
77,Google_20221008/新闻/articles.txt,articles,txt,0,0,,1,72,501
78,Google_20221008/Google 购物,Google 购物,,997,1,8,1,1,501
79,Google_20221008/Google 购物/Collection Point,Collection Point,,32,1,1,2,78,501
80,Google_20221008/Google 购物/Collection Point/Collection Point.txt,Collection Point,txt,32,0,,2,79,501
81,Google_20221008/Google 购物/Merchant Reviews,Merchant Reviews,,30,1,1,2,78,501
82,Google_20221008/Google 购物/Merchant Reviews/Merchant Reviews.txt,Merchant Reviews,txt,30,0,,2,81,501
83,Google_20221008/Google 购物/Order Preferred Contact Emails,Order Preferred Contact Emails,,28,1,1,2,78,501
84,Google_20221008/Google 购物/Order Preferred Contact Emails/Order Preferred Contact Emails.txt,Order Preferred Contact Emails,txt,28,0,,2,83,501
