due,created,title,updated,status
2022-10-14T18:30:00Z,2022-10-09T21:17:26.470419Z,call 877-821-0625 for installment plan,2022-10-13T18:35:38.525119Z,needsAction
2022-10-14T05:00:00Z,2022-10-01T02:58:24.397779Z,p3 data download,2022-10-13T18:35:27.696031Z,needsAction
2022-10-14T05:00:00Z,2022-10-04T16:17:15.400154Z,CVGS Outline,2022-10-13T18:35:23.288591Z,needsAction
2022-10-13T05:00:00Z,2022-10-12T04:20:27.904550Z,去anime课教室找抓夹,2022-10-13T18:26:21.084703Z,completed
2022-10-13T05:00:00Z,2022-10-12T01:33:03.563104Z,play return of the obra dinn & watch the ending,2022-10-13T16:04:49.368367Z,completed
2022-10-13T05:00:00Z,2022-10-12T04:22:51.603211Z,去crerar找水杯,2022-10-13T00:29:17.051567Z,needsAction
2022-10-13T05:00:00Z,2022-10-09T21:23:35.794091Z,anime reading,2022-10-13T00:28:35.961103Z,needsAction
2022-10-11T05:00:00Z,2022-10-11T03:00:40.273483Z,braid ending,2022-10-12T04:24:01.157887Z,completed
2022-10-25T05:00:00Z,2022-10-11T20:46:52.992777Z,HCI p1 pre,2022-10-11T20:47:08.942143Z,needsAction
2022-10-11T05:00:00Z,2022-10-09T21:23:46.046966Z,play Braid (2hr),2022-10-11T02:59:19.811903Z,completed
2022-10-10T05:00:00Z,2022-10-09T21:22:50.530109Z,HCI hw4,2022-10-11T02:59:18.603935Z,completed
2022-10-10T05:00:00Z,2022-10-09T21:23:00.558478Z,Mario Bro - MADD,2022-10-10T23:34:43.981903Z,completed
2022-10-09T05:00:00Z,2022-10-02T00:01:10.175718Z,cvgs response,2022-10-10T19:37:02.197247Z,completed
2022-10-16T05:00:00Z,2022-10-09T21:17:57.099645Z,game dev 2 sprites + 1 level shape,2022-10-09T21:18:26.806639Z,needsAction
2022-10-09T05:00:00Z,2022-10-05T19:45:16.127344Z,Robotics App,2022-10-09T20:32:04.466943Z,completed
2022-10-08T05:00:00Z,2022-10-02T00:01:22.445206Z,cvgs post,2022-10-09T20:32:02.770751Z,completed
2022-10-07T17:00:00Z,2022-10-01T02:57:38.554867Z,p2 location data,2022-10-08T17:51:00.981631Z,completed
2022-10-24T05:00:00Z,2022-10-04T16:14:01.252824Z,CVGS Video Essay,2022-10-05T19:45:07.747535Z,needsAction
2022-10-06T05:00:00Z,2022-10-02T00:02:05.997144Z,play a game for 5hr,2022-10-05T19:44:59.157647Z,completed
2022-10-03T15:00:00Z,2022-10-01T23:04:03.727155Z,Water Stewardship Report,2022-10-03T17:34:49.848447Z,completed
2022-10-03T05:00:00Z,2022-10-02T00:02:19.320073Z,hci hw2,2022-10-03T01:16:40.478031Z,completed
2022-10-01T05:00:00Z,2022-10-01T02:55:09.455324Z,join sa slack,2022-10-02T00:01:27.420239Z,completed
2022-10-01T05:00:00Z,2022-10-01T02:54:24.037308Z,anime discussion post,2022-10-02T00:00:47.705135Z,completed
2022-09-30T05:00:00Z,2022-09-27T16:04:52.348228Z,P1 Browser Data,2022-10-01T02:54:22.668143Z,completed
2022-09-29T15:00:00Z,2022-09-27T20:09:43.985065Z,HCI A1 UI,2022-09-29T15:45:58.166831Z,completed
2022-09-27T05:00:00Z,2022-09-27T16:03:30.303924Z,"Zebra Finch, Emma",2022-09-28T02:29:51.703711Z,completed
2022-09-12T04:00:00Z,2022-09-08T01:22:57.101967Z,高盛hackerrank 3hr,2022-09-18T22:11:44.819807Z,completed
2022-08-23T05:00:00Z,2022-08-14T20:06:19.874553Z, 学完coursera deep learning,2022-09-02T19:15:58.539263Z,completed
2022-07-27T05:00:00Z,2022-07-27T08:00:41.241314Z,带枕头带枕头带枕头,2022-07-27T12:07:56.552575Z,completed
2022-07-26T05:00:00Z,2022-07-21T22:31:06.086385Z,收拾行李,2022-07-27T08:00:26.147967Z,completed
2022-07-26T05:00:00Z,2022-07-21T22:30:52.562412Z,彬彬生日,2022-07-27T01:56:05.746111Z,completed
2022-07-22T05:00:00Z,2022-07-17T01:41:52.550386Z,取消coursera订阅,2022-07-26T00:39:55.170623Z,completed
2022-07-24T05:00:00Z,2022-07-21T22:31:20.258429Z,研究怎么做蛋糕,2022-07-26T00:39:54.645887Z,completed
2023-01-17T06:00:00Z,2022-07-19T06:06:12.617492Z,取消Apple Music订阅,2022-07-19T06:06:12.748127Z,needsAction
2022-07-14T05:00:00Z,2022-07-01T16:52:37.055830Z,申请intern,2022-07-17T01:04:43.143103Z,completed
2022-07-14T03:00:00Z,2022-07-13T21:49:21.972982Z, 看一下nlp那个intern,2022-07-14T19:28:33.276255Z,completed
