advertiser_name,has_data_file_custom_audience,has_remarketing_custom_audience,has_in_person_store_visit
Weee!,TRUE,TRUE,FALSE
Hong Kong Zoom Interactive Network Marketing Technology Limited,TRUE,TRUE,FALSE
Hearts & Science,TRUE,TRUE,FALSE
J3,TRUE,FALSE,FALSE
The Home Depot,TRUE,FALSE,FALSE
HBO,TRUE,FALSE,FALSE
The Body Shop,TRUE,FALSE,FALSE
Unified Digital Team,TRUE,FALSE,FALSE
Wyndham Hotels & Resorts,TRUE,FALSE,FALSE
Mattress Firm,TRUE,FALSE,FALSE
Guardian Life,TRUE,FALSE,FALSE
Drive with Lyft,TRUE,FALSE,FALSE
Ford Motor Company,TRUE,FALSE,FALSE
Capital One,TRUE,FALSE,FALSE
Edelman DC,TRUE,FALSE,FALSE
MullenLowe U.S.,TRUE,FALSE,FALSE
Powerwin,TRUE,FALSE,FALSE
VaynerMedia,TRUE,FALSE,FALSE
Neustar FB Syndication,TRUE,FALSE,FALSE
Famous Footwear,TRUE,FALSE,FALSE
WBCI,TRUE,FALSE,FALSE
Spark Foundry,TRUE,FALSE,FALSE
Gap Inc,TRUE,FALSE,FALSE
Liingo Eyewear,TRUE,FALSE,FALSE
"The Capital Grille (Washington, DC)",TRUE,FALSE,FALSE
Venmo,TRUE,FALSE,FALSE
Mango,TRUE,FALSE,FALSE
Ace Metaphor,TRUE,FALSE,FALSE
DIRECTV,TRUE,FALSE,FALSE
UM Canada,TRUE,FALSE,FALSE
Alex Honnold,FALSE,TRUE,FALSE
Wacom AmÃ©ricas en EspaÃ±ol,FALSE,TRUE,FALSE
Armin van Buuren,FALSE,TRUE,FALSE
Life With Jazz,FALSE,TRUE,FALSE
Flour Bakery+Cafe,FALSE,TRUE,FALSE
Hearst Live UK,FALSE,TRUE,FALSE
Delish UK,FALSE,TRUE,FALSE
Digital Spy,FALSE,TRUE,FALSE
NetDoctor,FALSE,TRUE,FALSE
INBOUND,FALSE,TRUE,FALSE
Mahathalli,FALSE,TRUE,FALSE
Nita Shilimkar,FALSE,TRUE,FALSE
Shamlee official,FALSE,TRUE,FALSE
Anveshi Jain,FALSE,TRUE,FALSE
Shivani Baokar,FALSE,TRUE,FALSE
Kiran Raj,FALSE,TRUE,FALSE
Rithika Tamilselvi,FALSE,TRUE,FALSE
Funcho,FALSE,TRUE,FALSE
Kreetika Sharma,FALSE,TRUE,FALSE
Tarangini saris,FALSE,TRUE,FALSE
TeeJay Arunasalam,FALSE,TRUE,FALSE
The Grey,FALSE,TRUE,FALSE
Asiyamigold,FALSE,TRUE,FALSE
Daniel Negreanu,FALSE,TRUE,FALSE
James Suckling,FALSE,TRUE,FALSE
Runner's World Nederland,FALSE,TRUE,FALSE
Kristy Wicks,FALSE,TRUE,FALSE
RuPaul,FALSE,TRUE,FALSE
Carlos Santana,FALSE,TRUE,FALSE
Phil Ivey,FALSE,TRUE,FALSE
Penn & Teller,FALSE,TRUE,FALSE
Walter Mosley,FALSE,TRUE,FALSE
Tan France,FALSE,TRUE,FALSE
Tom Morello,FALSE,TRUE,FALSE
Jeff Koons,FALSE,TRUE,FALSE
David Lynch,FALSE,TRUE,FALSE
Oscar de la Renta,FALSE,TRUE,FALSE
Malala,FALSE,TRUE,FALSE
Sarah Herron,FALSE,TRUE,FALSE
Nancy Cartwright,FALSE,TRUE,FALSE
Gordon Ramsay,FALSE,TRUE,FALSE
Alicia Keys,FALSE,TRUE,FALSE
Andrew Keenan-Bolger,FALSE,TRUE,FALSE
Kelly Wearstler,FALSE,TRUE,FALSE
The Elliott Homestead,FALSE,TRUE,FALSE
Bloom & Plume,FALSE,TRUE,FALSE
Francescana Family,FALSE,TRUE,FALSE
Sam Khan,FALSE,TRUE,FALSE
Meeple Mountain,FALSE,TRUE,FALSE
Women's Health NL,FALSE,TRUE,FALSE
Transmission B2B,FALSE,TRUE,FALSE
Mind Methods Agency,FALSE,TRUE,FALSE
Waypoint,FALSE,TRUE,FALSE
Shane Smith,FALSE,TRUE,FALSE
Creators,FALSE,TRUE,FALSE
VICE Video,FALSE,TRUE,FALSE
Astro Guide,FALSE,TRUE,FALSE
VICE Guide to Right Now,FALSE,TRUE,FALSE
THUMP,FALSE,TRUE,FALSE
VICE Life,FALSE,TRUE,FALSE
Nifty,FALSE,TRUE,FALSE
ELLE EspaÃ±a,FALSE,TRUE,FALSE
BuzzFeed Canada,FALSE,TRUE,FALSE
Complex Sneakers,FALSE,TRUE,FALSE
Complex News,FALSE,TRUE,FALSE
As/Is,FALSE,TRUE,FALSE
First We Feast,FALSE,TRUE,FALSE
Goodful,FALSE,TRUE,FALSE
Complex Style,FALSE,TRUE,FALSE
BuzzFeed,FALSE,TRUE,FALSE
Movado,FALSE,TRUE,FALSE
KAYAK - BR,FALSE,TRUE,FALSE
Cosmopolitan EspaÃ±a,FALSE,TRUE,FALSE
Filmcraft Studio Gear,FALSE,TRUE,FALSE
Men's Health Nederland,FALSE,TRUE,FALSE
ã¤ã±ã¢ã»ã¸ã£ãã³ (IKEA Japan),FALSE,TRUE,FALSE
